path,category,uncompressed_bytes,compressed_bytes
logs/vllm-tests/pds-v100-vllm-021-20260807-003439.log,test-log,20352,4820
logs/vllm-tests/pds-v100-vllm-021-concurrent-20260807-004829.log,test-log,284,193
logs/vllm-tests/pds-v100-vllm-021-concurrent-20260807-005718.log,test-log,284,192
logs/vllm-tests/pds-v100-vllm-021-concurrent-20260807-014207.log,test-log,393,223
logs/vllm-tests/pds-v100-vllm-021-concurrent-20260807-020048.log,test-log,395,227
logs/vllm-tests/pds-v100-vllm-021-concurrent-20260807-032700.log,test-log,387,223
logs/vllm-tests/pds-v100-vllm-021-concurrent-client.py,other,4519,1711
logs/vllm-tests/pds-v100-vllm-021-concurrent-thermal-20260807-004829.csv,thermal-csv,1983,383
logs/vllm-tests/pds-v100-vllm-021-concurrent-thermal-20260807-005718.csv,thermal-csv,1983,384
logs/vllm-tests/pds-v100-vllm-021-concurrent-thermal-20260807-014207.csv,thermal-csv,4536,874
logs/vllm-tests/pds-v100-vllm-021-concurrent-thermal-20260807-020048.csv,thermal-csv,21677,3290
logs/vllm-tests/pds-v100-vllm-021-concurrent-thermal-20260807-032700.csv,thermal-csv,9998,1739
logs/vllm-tests/pds-v100-vllm-021-runner.py,other,5098,1788
logs/vllm-tests/pds-v100-vllm-021-server-20260807-004829.log,test-log,102101,6535
logs/vllm-tests/pds-v100-vllm-021-server-20260807-005718.log,test-log,102101,6487
logs/vllm-tests/pds-v100-vllm-021-server-20260807-014207.log,test-log,194337,9809
logs/vllm-tests/pds-v100-vllm-021-server-20260807-020048.log,test-log,475239,19559
logs/vllm-tests/pds-v100-vllm-021-server-20260807-032700.log,test-log,37473,5110
logs/vllm-tests/pds-v100-vllm-021-thermal-20260806-224611.csv,thermal-csv,1184,280
logs/vllm-tests/pds-v100-vllm-021-thermal-20260806-224956.csv,thermal-csv,1184,296
logs/vllm-tests/pds-v100-vllm-021-thermal-20260806-230959.csv,thermal-csv,1238,313
logs/vllm-tests/pds-v100-vllm-021-thermal-20260807-000733.csv,thermal-csv,1768,410
logs/vllm-tests/pds-v100-vllm-021-thermal-20260807-001608.csv,thermal-csv,7072,1363
logs/vllm-tests/pds-v100-vllm-021-thermal-20260807-002757.csv,thermal-csv,4267,894
logs/vllm-tests/pds-v100-vllm-021-thermal-20260807-003439.csv,thermal-csv,4261,901
logs/vllm-tests/pds-v100-vllm-023-20260806-223657.log,test-log,11385,3474
logs/vllm-tests/pds-v100-vllm-023-20260806-223927.log,test-log,13161,3630
