timestamp,temp_c,fan_pct,power_w,gpu_util_pct,memory_used_mib
2026/08/09 02:50:59.929, 34, [N/A], 36.87, 0, 9994
2026/08/09 02:51:00.932, 34, [N/A], 36.87, 0, 9994
2026/08/09 02:51:01.937, 34, [N/A], 36.77, 0, 9994
2026/08/09 02:51:02.940, 34, [N/A], 36.86, 0, 9994
2026/08/09 02:51:03.943, 34, [N/A], 36.86, 0, 9994
2026/08/09 02:51:04.946, 34, [N/A], 36.86, 0, 9994
2026/08/09 02:51:05.949, 34, [N/A], 36.86, 0, 9994
2026/08/09 02:51:06.952, 34, [N/A], 36.86, 0, 9994
2026/08/09 02:51:07.955, 34, [N/A], 36.86, 0, 9994
2026/08/09 02:51:08.959, 34, [N/A], 37.34, 19, 9994
2026/08/09 02:51:09.962, 34, [N/A], 42.17, 86, 10028
2026/08/09 02:51:10.965, 34, [N/A], 41.60, 77, 10028
2026/08/09 02:51:11.968, 34, [N/A], 41.79, 66, 10028
2026/08/09 02:51:12.971, 34, [N/A], 42.17, 51, 10028
2026/08/09 02:51:13.974, 34, [N/A], 40.95, 0, 26198
2026/08/09 02:51:14.975, 34, [N/A], 40.96, 0, 26198
2026/08/09 02:51:15.978, 34, [N/A], 36.58, 0, 26198
2026/08/09 02:51:16.981, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:17.984, 34, [N/A], 36.51, 0, 26198
2026/08/09 02:51:18.987, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:19.990, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:20.993, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:21.996, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:22.999, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:24.005, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:25.007, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:26.010, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:27.013, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:28.016, 34, [N/A], 36.48, 0, 26198
